month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,flight,origin,dest
11,12,1222,2,1403,8,MQ,3361,JFK,RDU
2,21,635,6,945,15,UA,654,LGA,IAH
5,2,1354,9,1631,-29,AA,117,JFK,LAX
4,23,1545,0,1836,-15,DL,4,JFK,MCO
12,11,1343,-2,1536,7,EV,5259,LGA,MSN
1,6,1457,62,1829,80,B6,83,JFK,SEA
1,9,601,1,851,-13,B6,371,LGA,FLL
8,6,1436,6,1605,-5,EV,4596,EWR,STL
7,31,2022,21,2259,-6,VX,415,JFK,LAX
9,4,831,1,1029,-26,UA,447,EWR,PHX
5,30,758,-2,1052,-43,AA,59,JFK,SFO
7,29,1335,155,1444,154,MQ,3230,JFK,DCA
8,11,1147,-8,1304,-19,EV,4974,LGA,BTV
11,7,1928,88,2129,87,EV,4382,EWR,DTW
7,28,1657,-8,2008,-12,AA,1999,EWR,MIA
6,30,2126,65,2354,49,UA,433,EWR,IAH
7,14,1656,-4,1845,-38,9E,3448,JFK,CVG
7,19,1423,-7,1539,-19,FL,721,LGA,CAK
6,11,2055,26,11,12,UA,1532,EWR,SFO
1,29,955,-4,1257,9,B6,197,JFK,LAS
11,12,1225,-4,1321,-14,UA,551,EWR,BOS
2,27,1452,-7,1615,-19,UA,1037,EWR,ORD
11,21,1025,13,1220,25,EV,5149,LGA,RIC
7,24,NA,NA,NA,NA,MQ,3365,JFK,DCA
11,7,1505,6,1826,15,UA,287,EWR,AUS
3,21,2104,34,2228,24,FL,354,LGA,CAK
6,13,1853,53,2105,53,DL,1321,EWR,MSP
1,15,1032,-8,1140,-23,EV,4240,EWR,BUF
2,22,814,-1,1021,23,9E,3521,JFK,ORD
6,12,924,-6,1047,3,B6,56,JFK,BTV
5,7,646,6,744,-1,B6,1010,JFK,BOS
4,22,1200,-1,1444,3,UA,1461,EWR,IAH
12,17,1812,65,2126,134,EV,4411,EWR,MEM
6,30,2058,278,2347,242,AA,1467,LGA,MIA
3,7,632,-2,940,-11,UA,1276,EWR,AUS
5,22,1700,99,1950,165,EV,4596,EWR,STL
12,22,2254,29,220,49,B6,623,JFK,LAX
5,10,910,10,1158,-27,AA,1,JFK,LAX
5,8,2221,93,12,105,EV,4459,EWR,GSO
5,14,844,-3,1139,4,UA,1025,LGA,IAH
1,23,745,15,1024,-21,UA,1602,LGA,IAH
4,22,626,-4,748,-17,AA,303,LGA,ORD
7,26,715,-5,900,-22,EV,4166,EWR,GSP
3,1,1240,19,1331,-4,UA,1121,EWR,BOS
5,5,1725,-4,2030,-14,AA,1999,EWR,MIA
9,17,710,0,1008,-7,DL,1879,LGA,FLL
4,17,1331,2,1506,-1,EV,3832,EWR,STL
11,3,1930,-5,2055,-25,9E,2909,JFK,RIC
3,25,1215,5,1314,-11,WN,3839,EWR,MDW
2,22,1703,28,1842,32,MQ,3695,EWR,ORD
11,19,1525,-5,1825,-4,B6,83,JFK,MCO
4,17,1108,-7,1337,-29,DL,695,JFK,MCO
3,7,649,-11,829,-21,AA,305,LGA,ORD
9,21,1302,7,1556,2,B6,1401,JFK,FLL
11,5,1004,3,1321,-9,UA,1668,EWR,SFO
7,27,749,-11,1030,-30,DL,2395,LGA,PBI
9,26,1911,1,2200,-10,AA,1193,LGA,DFW
3,3,735,-5,1018,-26,B6,341,JFK,SRQ
4,8,1858,-3,2143,-23,UA,1637,EWR,TPA
1,16,658,-1,952,-7,AA,1815,JFK,MCO
7,26,2004,34,2314,26,B6,71,JFK,SLC
6,13,1424,114,1715,115,WN,40,LGA,HOU
2,15,857,-5,1355,-8,UA,1519,EWR,STT
9,25,1715,0,1852,-13,AA,345,LGA,ORD
8,26,1925,3,2044,-12,UA,1703,EWR,BOS
12,23,1155,55,1319,65,US,2177,LGA,DCA
11,26,2045,-5,2213,1,DL,985,JFK,BOS
5,7,1258,-2,1540,-35,VX,411,JFK,LAX
12,29,2016,47,2228,25,UA,1625,EWR,DEN
10,24,550,-10,837,-3,B6,27,EWR,MCO
3,4,1729,0,1908,16,UA,719,EWR,BOS
8,19,948,-7,1103,-12,MQ,3670,LGA,BNA
2,1,703,-2,1020,-14,UA,1655,EWR,SNA
5,12,1101,-4,1406,-12,DL,930,LGA,FLL
8,23,1429,-1,1632,-27,UA,345,EWR,LAS
6,7,1346,-9,1650,7,B6,1783,JFK,MCO
2,8,1537,2,1852,2,AA,763,LGA,DFW
11,13,1714,-1,1926,21,AA,345,LGA,ORD
7,14,2155,61,30,62,EV,4645,EWR,JAX
3,13,1236,-5,1542,-8,UA,752,LGA,IAH
9,7,1357,-2,1458,-13,B6,118,JFK,BOS
2,9,NA,NA,NA,NA,9E,3317,JFK,BUF
3,11,832,1,1118,-33,UA,1223,EWR,LAX
10,8,1524,28,1701,20,9E,3846,JFK,ORF
12,6,NA,NA,NA,NA,EV,5189,LGA,CMH
9,15,1500,0,1756,-23,DL,161,JFK,SEA
12,26,1315,-5,1438,-17,AA,331,LGA,ORD
3,12,1532,33,1825,48,DL,2347,LGA,ATL
8,30,1621,7,1725,-9,UA,568,EWR,BOS
10,16,1921,21,2145,-6,B6,883,JFK,MCO
10,20,1653,144,1956,135,UA,1205,EWR,SFO
6,4,1057,-3,1306,21,MQ,4471,LGA,RDU
2,18,1642,-3,1851,-15,9E,3642,EWR,CVG
10,24,822,22,1058,32,9E,3507,JFK,MSY
10,14,1414,-1,1630,-34,UA,1232,EWR,IAH
2,10,824,0,1110,-20,UA,1492,EWR,MCO
12,23,920,-1,1229,-6,B6,223,JFK,LAX
2,20,1529,-6,1834,-16,AA,763,LGA,DFW
8,15,824,-5,1007,-21,DL,1157,EWR,MSP
6,25,1907,7,2211,-19,DL,1643,JFK,SEA
10,19,831,-4,940,-6,EV,4240,EWR,BUF
1,11,923,-7,1228,-18,B6,375,LGA,FLL
5,12,2359,74,56,59,B6,22,JFK,SYR
3,12,1921,-4,2234,-2,B6,147,JFK,RSW
12,15,1355,0,1504,-21,WN,3,LGA,MDW
3,3,939,-11,1123,-42,9E,4060,LGA,DAY
2,1,755,-5,1104,10,B6,517,EWR,MCO
12,21,1535,10,1701,8,EV,4580,EWR,MKE
10,22,1202,-1,1414,2,EV,4567,EWR,MCI
9,10,620,-10,740,-28,EV,4424,EWR,RDU
7,19,618,0,849,-7,UA,1448,EWR,MCO
5,23,NA,NA,NA,NA,EV,4571,EWR,SAV
12,18,1716,-4,2006,-24,AA,2488,EWR,DFW
3,21,605,0,909,2,B6,501,JFK,FLL
7,29,2101,6,2322,-2,EV,4351,EWR,JAX
11,30,912,12,1226,9,UA,1162,EWR,MIA
4,3,2243,94,119,75,UA,995,EWR,IAH
4,12,1825,-5,2126,-34,AA,269,JFK,SEA
4,11,629,-1,809,5,UA,552,EWR,CLE
5,20,1644,-6,1806,-11,EV,4300,EWR,RIC
6,3,621,-6,847,-13,B6,203,JFK,LAS
6,22,1059,-6,1247,-26,DL,1031,LGA,DTW
2,6,1443,7,1553,10,EV,4372,EWR,DCA
12,17,1800,30,2122,27,AA,2351,JFK,MIA
7,16,607,-4,900,-15,UA,1183,EWR,RSW
10,3,2107,8,44,-14,DL,347,JFK,SJU
11,21,1534,-6,1831,-39,AA,65,JFK,DFW
2,14,628,-2,934,6,UA,1115,EWR,TPA
9,8,2053,52,2300,12,B6,65,JFK,ABQ
3,19,606,6,942,31,UA,1077,EWR,MIA
8,18,1540,-5,1841,-25,DL,1982,LGA,MIA
2,19,1852,157,2106,136,WN,3,EWR,DEN
6,21,901,1,1015,-20,UA,1477,LGA,ORD
6,21,1751,94,1905,81,YV,3771,LGA,IAD
12,11,726,-1,935,5,EV,4166,EWR,GSP
10,2,1512,0,1621,-25,UA,685,LGA,ORD
8,13,NA,NA,NA,NA,9E,3443,JFK,RDU
1,18,1646,-4,2002,26,UA,372,EWR,LAS
11,4,2021,-9,2136,-29,WN,3494,EWR,MDW
6,13,2120,0,2,8,B6,97,JFK,DEN
3,12,1827,-2,2032,-3,US,373,JFK,CLT
4,29,1858,-2,2018,-27,EV,5038,LGA,BHM
12,10,NA,NA,NA,NA,UA,652,EWR,IAH
12,21,1505,10,1622,-3,MQ,3425,JFK,DCA
5,25,1638,32,1921,28,UA,1250,EWR,TPA
1,6,1520,3,1836,25,B6,537,EWR,TPA
9,4,1849,-1,2135,-37,B6,669,JFK,SJC
1,21,1404,7,1500,-7,EV,4434,EWR,MHT
5,21,1849,20,2043,4,DL,2019,LGA,MSP
8,17,909,-1,1037,-40,DL,181,LGA,DTW
5,12,1654,-6,1942,3,DL,1499,LGA,ATL
8,11,1514,-1,1801,-15,DL,2181,LGA,MCO
8,3,1624,0,1856,-29,UA,1593,EWR,MCO
10,2,750,-5,852,-18,WN,909,EWR,MDW
1,4,2039,4,2334,-8,B6,629,JFK,HOU
7,6,1546,1,1855,51,EV,5058,EWR,ATL
5,23,1201,2,1513,14,DL,1174,LGA,PBI
7,25,635,2,923,-5,UA,1701,EWR,FLL
9,9,1859,-11,2140,-30,AA,1193,LGA,DFW
12,29,653,-2,751,-13,B6,318,JFK,BOS
6,24,926,46,1241,57,UA,421,EWR,SFO
7,23,817,17,917,13,US,2118,LGA,BOS
12,16,1919,-11,2108,-22,MQ,3573,LGA,CMH
11,19,1008,-2,1124,-22,UA,1564,EWR,ORD
3,21,1253,-7,1505,-16,EV,4950,EWR,ATL
6,13,1405,32,1816,NA,UA,1293,EWR,SFO
6,1,2249,-6,11,-8,B6,112,JFK,BUF
6,9,1642,-3,1753,-20,B6,1012,JFK,BOS
6,12,844,-5,1145,-9,UA,1401,EWR,MIA
1,6,811,20,1021,-5,UA,1229,LGA,DEN
10,9,2130,-4,2355,-7,DL,1543,JFK,ATL
11,7,1059,0,1400,-5,B6,971,LGA,FLL
9,22,908,-2,1140,-35,AA,1121,LGA,DFW
12,30,838,-4,1146,5,B6,1025,JFK,TPA
12,10,NA,NA,NA,NA,AA,327,LGA,ORD
4,6,1830,-5,2134,-20,DL,1433,LGA,RSW
10,26,935,4,1322,-13,UA,1519,EWR,STT
6,17,555,-5,715,-11,UA,1257,LGA,ORD
10,6,1556,6,1736,-17,EV,4667,EWR,MSP
7,11,1118,-7,1223,-8,B6,2380,EWR,BOS
9,30,2051,-3,2348,-11,B6,523,JFK,LAX
3,17,1414,4,1701,-2,B6,1161,LGA,PBI
10,14,805,0,910,-8,EV,4866,EWR,BTV
2,17,1737,52,2100,60,B6,185,JFK,SAN
4,22,849,-6,1047,-22,DL,2239,EWR,DTW
1,9,1556,1,1811,-6,DL,1771,JFK,DTW
3,8,2211,231,118,208,AA,119,EWR,LAX
7,24,600,-5,812,-8,MQ,3550,LGA,ATL
10,17,1422,5,1643,-3,UA,587,EWR,LAS
9,19,542,-3,917,-16,B6,1403,JFK,SJU
7,6,1610,27,1757,-12,UA,1107,EWR,DEN
8,13,NA,NA,NA,NA,EV,4978,LGA,CLT
9,23,2018,28,2239,24,MQ,3662,LGA,ATL
6,23,2043,-2,2217,18,B6,2680,EWR,BOS
1,7,2052,82,2233,78,EV,3274,LGA,CLE
7,19,1614,29,2023,18,DL,4,JFK,SJU
10,21,638,-2,915,10,DL,27,JFK,ATL
7,13,1740,5,2039,9,AA,1901,JFK,IAH
10,15,956,-4,1216,-28,DL,1847,LGA,ATL
7,14,1634,54,1830,43,9E,4078,JFK,CMH
10,3,1618,19,1808,38,UA,589,EWR,ORD
4,9,547,-13,652,-19,EV,5716,JFK,IAD
7,6,1727,88,1924,58,9E,3540,JFK,MSP
12,18,1758,1,1921,-11,EV,4195,EWR,BNA
8,29,858,-3,1012,-2,B6,1634,JFK,BTV
8,1,705,-10,949,-9,UA,222,EWR,SNA
10,28,1727,-2,2036,7,DL,2471,EWR,SLC
6,5,1803,-2,1922,-14,EV,4689,EWR,BNA
5,1,1110,-10,1202,-23,EV,4157,EWR,SYR
4,30,1629,-6,1817,-33,DL,2231,LGA,DTW
8,5,2125,10,2353,4,DL,1729,JFK,LAS
11,13,912,12,1154,-16,B6,189,JFK,SAN
8,12,1328,-2,1617,-8,B6,505,EWR,FLL
8,20,1533,3,1823,-27,DL,95,JFK,LAX
9,10,1538,3,1756,-20,DL,1773,JFK,LAS
4,3,554,-6,652,-7,US,2161,LGA,DCA
11,25,1825,-5,2108,-16,B6,183,JFK,MCO
1,18,700,-5,1010,-11,B6,981,JFK,FLL
5,24,1702,62,1936,50,DL,1621,JFK,DEN
9,8,1616,1,1857,-18,AA,65,JFK,DFW
11,1,829,-3,1016,17,9E,3492,JFK,DCA
11,21,900,0,1146,7,DL,1747,LGA,ATL
5,17,606,-4,734,-11,AA,301,LGA,ORD
8,8,724,-1,843,-2,WN,463,EWR,BNA
2,24,817,-3,1116,-17,DL,2395,LGA,PBI
6,5,1854,-6,2138,-21,DL,2159,JFK,MCO
9,1,617,-3,829,-11,DL,1743,JFK,ATL
1,11,1254,-6,1454,-12,9E,3762,EWR,CVG
9,6,1618,-7,1805,-39,EV,5601,LGA,CLT
4,27,1933,-12,2208,-32,B6,381,LGA,FLL
9,18,1253,-7,1535,-15,AA,1145,LGA,DFW
4,18,2110,100,2321,111,EV,4543,EWR,DSM
7,30,557,-8,820,-19,B6,583,JFK,MCO
10,31,1058,-2,1344,-24,UA,1479,EWR,LAX
7,1,807,12,1021,12,UA,561,LGA,DEN
11,16,1649,-1,1907,5,9E,2910,JFK,CVG
5,25,700,0,1003,-12,VX,399,JFK,LAX
11,7,1624,-3,1835,-11,EV,4294,EWR,SAV
4,11,605,-3,844,-16,UA,1115,EWR,TPA
7,23,2049,49,10,60,DL,2391,JFK,TPA
10,7,1158,-1,1448,9,DL,1947,LGA,ATL
5,25,752,-7,1032,-37,AA,2267,LGA,MIA
4,18,1946,-4,2244,-27,DL,1854,LGA,FLL
8,6,2145,-10,2245,-44,EV,3267,EWR,ORF
12,2,810,65,1007,51,EV,3842,EWR,GRR
6,9,2029,-6,2248,-14,DL,1247,LGA,ATL
2,9,NA,NA,NA,NA,MQ,4594,LGA,CLE
3,18,1554,-6,1716,-1,US,2181,LGA,DCA
9,1,1028,-1,1131,-43,AA,323,LGA,ORD
5,13,2349,-10,334,-16,B6,739,JFK,PSE
1,20,2011,6,2302,4,UA,405,EWR,MCO
11,4,2329,44,48,53,B6,234,JFK,BTV
5,19,658,-2,945,-30,VX,399,JFK,LAX
3,10,1240,5,1402,-13,MQ,4404,JFK,RDU
3,25,1852,-3,2018,-33,9E,3374,JFK,PIT
10,24,2134,-6,2238,-17,MQ,3621,JFK,DCA
12,1,554,-6,712,-7,EV,5747,LGA,IAD
11,27,655,0,1202,12,DL,315,JFK,SJU
6,17,704,-2,1015,14,UA,1665,EWR,LAX
7,30,1532,33,1802,0,UA,1289,EWR,MCO
9,11,951,-4,1236,-34,UA,642,JFK,SFO
2,16,953,-5,1107,5,9E,3884,JFK,PHL
2,8,NA,NA,NA,NA,AA,1611,LGA,MIA
9,25,1943,13,2201,0,DL,1461,EWR,ATL
1,15,1943,-12,2245,-25,AA,1709,LGA,MIA
8,12,1255,-4,1536,2,DL,781,LGA,ATL
1,9,1008,-8,1212,-18,DL,2319,LGA,MSP
8,9,1313,3,1606,6,UA,373,EWR,PBI
11,20,914,-7,1241,6,B6,223,JFK,LAX
12,14,1629,27,2008,89,DL,407,JFK,ATL
10,18,1651,-4,2015,0,VX,413,JFK,LAX
8,24,655,-5,923,-28,B6,23,JFK,LAX
8,5,1222,113,1457,107,B6,53,JFK,PBI
9,6,1220,-6,1359,-23,EV,3848,EWR,CLT
3,29,2025,-5,2243,-23,B6,619,JFK,JAX
3,20,2007,-8,2240,-40,UA,593,EWR,DFW
6,20,821,1,1130,-5,AA,2267,LGA,MIA
4,26,1539,-1,1658,8,US,1607,LGA,PHL
1,25,1659,-1,2009,34,DL,2042,EWR,ATL
4,22,828,-9,1017,-18,EV,4451,EWR,DTW
7,23,611,0,959,5,B6,1403,JFK,SJU
2,1,1501,2,1618,-13,B6,8,JFK,BUF
11,2,1052,-8,1213,-1,US,2177,LGA,DCA
1,12,1605,-5,1733,-27,AA,341,LGA,ORD
1,17,1353,-7,1504,-5,US,2177,LGA,DCA
11,17,1710,-15,1924,-35,EV,5298,LGA,OMA
3,13,756,-10,855,-24,B6,1172,EWR,BOS
2,1,1127,-3,1413,-9,UA,1736,EWR,MCO
7,17,1017,84,1240,60,UA,1711,EWR,IAH
8,8,NA,NA,NA,NA,9E,4245,JFK,CHS
2,21,2127,15,2237,13,EV,4119,EWR,RIC
5,17,1856,-9,2146,-23,B6,75,JFK,TPA
12,25,1440,-7,1644,-9,EV,4144,EWR,CHS
9,30,844,-6,1029,-16,MQ,3407,LGA,CMH
10,3,625,-5,935,-5,UA,300,EWR,SFO
2,7,709,-6,1022,-13,AA,825,JFK,FLL
5,22,1539,9,1734,2,US,1899,LGA,CLT
7,17,1617,-3,1946,1,AA,1467,LGA,MIA
4,29,938,-7,1113,-11,B6,885,JFK,RDU
12,2,1650,0,2018,16,B6,89,JFK,SAN
3,15,1704,39,1915,20,MQ,4661,LGA,ATL
4,17,1654,-5,1951,-8,AA,1905,EWR,DFW
4,13,2206,16,56,13,B6,325,JFK,TPA
8,3,1523,23,1814,24,AA,883,EWR,DFW
5,5,1946,16,2149,-6,EV,4998,LGA,MCI
3,18,1206,6,1317,2,MQ,4425,JFK,DCA
5,2,1511,36,2047,NA,UA,1534,EWR,MIA
5,25,1002,2,1126,-4,WN,1063,LGA,MKE
11,26,2119,64,24,72,UA,475,EWR,IAH
9,26,1133,18,1400,26,UA,1010,LGA,DEN
7,21,653,-7,946,-5,B6,23,JFK,LAX
12,17,2034,69,2345,61,UA,1526,EWR,LAX
3,29,604,-6,900,-25,UA,797,JFK,LAX
3,29,1050,0,1339,-23,DL,1903,LGA,SRQ
9,14,740,0,1039,-16,VX,11,JFK,SFO
3,1,1318,-2,1651,26,B6,377,LGA,FLL
8,18,1145,-10,1251,-32,EV,4974,LGA,BTV
4,4,656,-4,810,-29,UA,287,LGA,ORD
9,6,727,-8,1012,-19,DL,183,JFK,SEA
12,6,1216,-4,1430,40,MQ,3461,LGA,BNA
1,23,1733,65,1836,61,EV,4588,EWR,MHT
6,26,1357,-3,1529,17,US,2177,LGA,DCA
5,15,641,-3,805,-8,UA,1659,EWR,ORD
10,20,2007,7,2302,-26,UA,1651,EWR,SFO
7,31,1631,1,2006,7,VX,27,JFK,SFO
9,8,816,-9,954,-29,US,1831,EWR,CLT
11,23,1555,-5,1825,-13,DL,847,LGA,ATL
9,19,1153,-6,1307,-2,MQ,3386,JFK,DCA
3,15,1448,33,1655,24,DL,935,EWR,ATL
4,25,841,-3,1004,1,UA,477,EWR,BOS
4,6,2032,-1,24,-10,UA,1071,EWR,BQN
10,18,709,-11,942,-48,AS,15,EWR,SEA
12,20,1425,58,1632,68,EV,4640,EWR,DAY
3,16,1817,123,2121,127,B6,985,LGA,TPA
10,9,2123,26,2254,18,EV,5048,LGA,RIC
11,27,1017,-8,1121,-6,B6,518,JFK,BOS
1,8,829,-6,1127,-23,AA,717,LGA,DFW
3,5,1714,-6,1900,-10,AA,345,LGA,ORD
8,14,658,-2,916,16,9E,3879,EWR,CVG
5,21,1344,0,1615,-6,B6,525,EWR,MCO
1,23,849,9,1155,-9,B6,553,EWR,RSW
7,31,2056,-3,2204,-21,UA,994,EWR,BOS
8,20,2051,0,2333,-25,B6,165,JFK,PDX
6,19,952,43,1205,43,EV,4952,LGA,CLT
7,17,1510,0,1651,16,MQ,3433,JFK,DCA
12,11,941,-1,1211,17,EV,5796,EWR,CLT
4,11,1705,10,2019,-11,VX,413,JFK,LAX
7,21,607,7,800,8,DL,731,LGA,DTW
4,8,600,0,735,4,UA,577,EWR,ORD
2,5,654,-5,953,-6,AA,1815,JFK,MCO
3,13,1700,-5,1938,-32,AA,1905,EWR,DFW
9,26,1621,-4,1723,-33,DL,402,JFK,BOS
3,10,1128,-2,1412,-25,UA,703,JFK,LAX
7,9,1535,-9,1746,14,UA,1542,LGA,CLE
6,25,1158,73,1348,67,EV,5033,LGA,MEM
2,18,2016,-9,2138,-22,FL,354,LGA,CAK
8,5,2055,0,2338,14,EV,4351,EWR,JAX
5,11,23,98,126,89,B6,22,JFK,SYR
7,9,728,13,948,-10,UA,288,EWR,SNA
7,25,1141,12,1453,6,UA,1677,EWR,SFO
8,18,1528,-1,1819,-2,B6,573,EWR,TPA
4,16,1820,50,2048,25,B6,547,EWR,PBI
11,21,1652,-8,1850,-23,9E,3932,EWR,CVG
5,30,2015,0,2303,-5,B6,43,JFK,MCO
11,22,2241,-4,2342,-11,B6,108,JFK,PWM
12,16,620,-10,938,19,B6,1099,LGA,MCO
2,7,1953,115,2124,108,UA,1139,EWR,ORD
5,11,1856,26,2200,0,AA,269,JFK,SEA
6,17,757,27,937,7,DL,831,LGA,DTW
10,17,755,-5,1044,-33,DL,2431,JFK,MIA
7,20,1150,-5,1258,-12,MQ,3386,JFK,DCA
9,7,657,-3,925,-37,DL,1415,JFK,SLC
1,3,643,-2,911,23,US,926,EWR,CLT
12,30,1832,3,2123,-33,UA,421,EWR,SAN
10,27,1812,-8,2011,-25,9E,4245,JFK,CHS
3,5,636,-9,838,-8,US,1281,EWR,CLT
9,2,NA,NA,NA,NA,EV,4473,EWR,ROC
9,1,935,-5,1125,-12,EV,3852,EWR,DTW
5,28,2145,60,15,62,EV,4147,EWR,JAX
