id,대출의도,나이,경력,수입,카드사용액,카드보유유무
64,0,42,17,32,0,0
65,0,47,23,105,3.3,0
66,0,59,35,131,3.8,1
67,0,62,36,105,2.8,0
68,0,53,23,45,2,0
69,0,47,21,60,2.1,1
70,0,53,29,20,0.2,0
71,0,42,18,115,3.5,1
72,0,53,29,69,1,0
73,0,44,20,130,5,1
74,0,41,16,85,4,1
75,0,28,3,135,3.3,1
76,1,31,7,135,3.8,1
77,0,58,32,12,0.3,0
78,0,46,20,29,0.5,0
79,1,54,30,133,2.6,0
80,0,50,26,19,0.4,0
81,0,60,36,41,1.3,1
82,0,47,22,40,2.7,0
83,0,41,16,82,4,0
84,0,33,9,50,2.4,0
85,0,46,22,18,0.9,0
86,0,27,2,109,1.8,0
87,0,40,16,42,2.2,0
88,0,48,22,78,1.1,0
89,0,65,41,51,1.1,0
90,0,25,-1,113,2.3,1
91,1,55,30,118,5.6,0
92,0,35,10,29,1.1,0
93,0,43,19,34,0.6,0
94,0,60,34,64,1.7,0
95,0,65,39,121,2,0
96,0,38,12,48,0.2,0
97,0,41,15,80,5.2,0
98,0,54,28,161,2.9,0
99,0,49,23,94,0.3,0
100,0,66,41,15,0.1,0
101,0,48,23,74,1.2,0
102,0,61,36,30,1.3,0
103,0,53,23,44,1,1
104,0,43,18,22,0.3,0
105,0,56,32,38,1.3,1
106,0,24,0,35,0.1,0
107,0,43,17,69,2.9,1
108,0,42,18,43,0.7,0
109,0,33,7,32,0.6,0
110,0,43,17,49,2.8,0
111,0,41,14,9,1,0
112,0,62,38,45,1.3,0
113,0,40,15,82,1,0
114,0,58,34,92,2.8,0
115,0,39,14,39,0.5,0
116,0,65,40,81,1.8,0
117,0,54,29,35,1.5,0
118,0,58,33,61,2.3,0
119,0,41,16,73,3,0
120,0,32,7,112,4.6,0
121,0,54,29,12,0.2,0
122,0,52,26,38,0.9,0
123,0,58,32,73,0.7,1
124,0,37,13,84,3.6,0
125,0,39,15,78,2.4,0
126,0,60,35,80,0.5,0
127,0,31,5,115,1.3,1
128,0,34,8,82,2.7,0
129,0,38,14,74,0,0
130,0,41,16,70,0.5,1
131,0,28,4,81,1.5,0
132,1,58,34,149,7.2,1
133,0,31,1,51,1.8,0
134,0,30,4,39,1.1,0
135,0,53,29,98,1.8,0
136,0,58,33,45,2.1,1
137,0,59,32,49,2.5,0
138,0,49,25,128,0.4,0
139,0,59,34,42,1.5,1
140,0,59,35,18,1.2,0
141,0,51,25,31,0.4,1
142,0,35,11,58,2,1
143,0,33,9,48,2.1,1
144,0,25,1,54,1.6,1
145,0,49,23,70,1.5,0
146,0,59,35,124,7.4,1
147,0,46,19,84,2.7,1
148,0,50,25,83,3.6,0
149,0,52,28,163,0.4,0
150,0,48,22,42,2.2,0
151,0,46,22,118,7.5,1
152,1,26,0,132,6.5,1
153,0,57,32,24,1.3,1
154,0,60,36,22,1,1
155,0,54,29,58,1.3,0
156,0,24,0,60,1.6,0
157,0,26,0,15,0.4,1
158,0,41,17,83,2.7,1
159,0,32,6,79,1.5,1
160,0,61,35,41,1.7,0
161,1,29,0,134,6.5,0
162,0,61,35,80,2.8,0
163,0,38,12,52,2,0
164,0,28,4,70,2.6,0
165,0,53,27,92,1.1,0
166,0,27,1,43,1.5,0
167,0,25,1,21,1,0
168,0,33,9,23,0.9,1
169,0,50,26,13,1,0
170,0,27,1,112,2.1,1
171,0,27,1,138,2,0
172,0,52,28,11,0.4,0
173,0,38,13,171,7.8,0
174,0,58,34,42,1.5,1
175,1,42,17,168,7.9,0
176,0,45,20,85,1.1,0
177,0,52,25,44,1,0
178,0,29,3,65,1.8,0
179,0,53,29,24,0.2,1
180,0,62,37,11,0.1,0
181,0,51,27,38,1,0
182,0,36,12,10,0.7,0
183,0,24,0,135,1.5,0
184,1,29,3,148,4.1,0
185,0,52,26,63,1.5,0
186,0,39,14,115,1,0
187,0,48,23,45,0.3,1
188,1,46,21,159,1.9,0
189,0,64,40,169,2.1,0
190,0,55,29,112,1.4,0
191,0,60,36,93,4.3,0
192,0,51,25,29,0.3,0
193,0,50,23,85,2.7,0
194,0,48,24,21,0.6,1
195,0,53,29,144,6.8,0
196,0,34,10,13,1,0
197,0,48,24,165,5,1
198,0,55,31,9,0.7,0
199,0,27,3,59,0,0
200,1,36,11,158,5.1,1
